combination,rate
"(1,)",1.0
"(2,)",1.0
"(3,)",1.0
"(4,)",1.0
"(5,)",1.0
"(6,)",1.0
"(7,)",1.0
"(8,)",1.0
"(1, 2)",1.0
"(1, 3)",1.0
"(1, 4)",1.0
"(1, 5)",1.0
"(1, 6)",1.0
"(1, 7)",1.0
"(1, 8)",1.0
"(2, 3)",1.0
"(2, 4)",1.0
"(2, 5)",1.0
"(2, 6)",1.0
"(2, 7)",1.0
"(2, 8)",1.0
"(3, 4)",1.0
"(3, 5)",1.0
"(3, 6)",1.0
"(3, 7)",1.0
"(3, 8)",1.0
"(4, 5)",1.0
"(4, 6)",1.0
"(4, 7)",1.0
"(4, 8)",1.0
"(5, 6)",1.0
"(5, 7)",1.0
"(5, 8)",1.0
"(1, 2, 3)",1.0
"(1, 2, 4)",1.0
"(1, 2, 5)",1.0
"(1, 2, 6)",1.0
"(1, 2, 7)",1.0
"(1, 2, 8)",1.0
"(1, 3, 4)",1.0
"(1, 3, 5)",1.0
"(1, 3, 6)",1.0
"(1, 3, 7)",1.0
"(1, 3, 8)",1.0
"(1, 4, 5)",1.0
"(1, 4, 6)",1.0
"(1, 4, 7)",1.0
"(1, 4, 8)",1.0
"(1, 5, 6)",1.0
"(1, 5, 8)",1.0
"(1, 7, 8)",1.0
"(2, 3, 4)",1.0
"(2, 3, 5)",1.0
"(2, 3, 6)",1.0
"(2, 3, 7)",1.0
"(2, 3, 8)",1.0
"(2, 4, 5)",1.0
"(2, 4, 6)",1.0
"(2, 4, 7)",1.0
"(2, 4, 8)",1.0
"(2, 5, 6)",1.0
"(2, 5, 8)",1.0
"(2, 7, 8)",1.0
"(3, 4, 5)",1.0
"(3, 4, 6)",1.0
"(3, 4, 7)",1.0
"(3, 4, 8)",1.0
"(3, 5, 6)",1.0
"(4, 5, 6)",1.0
"(4, 5, 8)",1.0
"(4, 7, 8)",1.0
"(5, 7, 8)",1.0
"(1, 2, 3, 4)",1.0
"(1, 2, 3, 5)",1.0
"(1, 2, 3, 6)",1.0
"(1, 2, 3, 7)",1.0
"(1, 2, 3, 8)",1.0
"(1, 2, 4, 5)",1.0
"(1, 2, 4, 6)",1.0
"(1, 2, 4, 7)",1.0
"(1, 2, 4, 8)",1.0
"(1, 2, 5, 6)",1.0
"(1, 2, 7, 8)",1.0
"(1, 3, 4, 5)",1.0
"(1, 3, 4, 6)",1.0
"(1, 3, 4, 8)",1.0
